id_cliente,nombre,correo,direccion,telefono
1,Juan José Hernández Reyes,juanjose.hdez@gmail.com,Calle Emiliano Zapata 45 Col. Centro CDMX,55-1234-5678
2,María Guadalupe Torres Sandoval,lupita.torres@hotmail.com,Av. Revolución 123 Col. Del Valle Monterrey NL,81-9876-5432
3,Roberto Carlos Méndez Jiménez,roberto.mendez@yahoo.com.mx,Blvd. Insurgentes 78 Col. Chapultepec Tijuana BC,664-234-5678
4,Ana Sofía Ramírez Castillo,anaso.ramirez@gmail.com,Calle Hidalgo 22 Col. Obrera Guadalajara JAL,33-4567-8901
5,Miguel Ángel Flores Domínguez,miguelangel.flores@outlook.com,Callejón de la Cruz 9 Col. Guerrero CDMX,55-8765-4321
6,Verónica Itzel Morales Guzmán,vero.morales@gmail.com,Av. Juárez 301 Col. Americana Guadalajara JAL,33-2345-6789
7,Francisco Javier Ortiz Vega,fjavierortiz@hotmail.com,Calle Allende 56 Col. Histórica Puebla PUE,222-345-6789
8,Daniela Paola Reyes Espinoza,dany.reyes@gmail.com,Av. Tecnológico 88 Col. Las Fuentes Querétaro QRO,442-987-6543
9,Sergio Alejandro Luna Vargas,sergio.luna@empresa.com.mx,Paseo de la Reforma 500 Piso 3 CDMX,55-3456-7890
10,Karla Itzel Núñez Pedraza,karlita.nunez@gmail.com,Calle Niños Héroes 14 Col. Doctores CDMX,55-6543-2109
11,Eduardo Enrique Soto Carrasco,eduardo.soto@outlook.com,Av. Colosio 200 Col. Pinos Cancún QR,998-234-5678
12,Brenda Lizeth Aguilar Fuentes,brendaliz.aguilar@yahoo.com,Blvd. Agua Caliente 55 Col. Aviación Tijuana BC,664-876-5432
13,Alejandro Iván Medina Rojas,alex.medina@gmail.com,Calle 5 de Mayo 33 Col. Centro León GTO,477-345-6789
14,Patricia del Carmen Vásquez Ríos,paty.vasquez@hotmail.com,Av. Miguel Alemán 410 Col. Vista Hermosa Monterrey NL,81-5432-1098
15,Omar Josué Peña Contreras,omar.pena@empresa.mx,Calle Lázaro Cárdenas 77 Col. Obregón Mérida YUC,999-456-7890
